BACKTEST DAILY BREAKDOWN — SWING + SCALP
====================================================================================================
Periode: 2026-02-07 → 2026-04-23 (76 hari)
SWING: 237 trade, +130.70R
SCALP: 130 trade, +46.06R
TOTAL: +176.76R (+2.33R/hari)

DATE           SW    SW R    SC    SC R    DAY R      CUM  COINS
2026-04-06     1   +1.00     5   -1.10    -0.10  +169.22  APT,GRT,LDO,LTC,SOL,XRP
2026-04-07     3   -3.00     4   +3.30    +0.30  +169.52  ADA,BANANA,DOT,EIGEN,LTC
2026-04-08     0   +0.00     4   +0.90    +0.90  +170.41  APT,BCH,DOGE
2026-04-09     1   -1.00     0   +0.00    -1.00  +169.41  ENS
2026-04-10     2   +4.30     1   -0.50    +3.80  +173.21  ETH,ETHFI,LINK
2026-04-11     1   +2.00     0   +0.00    +2.00  +175.21  BCH
2026-04-12     0   +0.00     6   +3.87    +3.87  +179.08  AVAX,BCH,SOL,SUI,TRUMP,XRP
2026-04-13     1   -1.00     0   +0.00    -1.00  +178.08  XLM
2026-04-14     1   -1.00     3   +0.67    -0.33  +177.75  DOGE,ETH,OP,XRP
2026-04-15     4   -0.40     0   +0.00    -0.40  +177.35  ATOM,HBAR,TAO
2026-04-16     0   +0.00     2   +1.40    +1.40  +178.75  BNB,SEI
2026-04-17     0   +0.00     2   +0.65    +0.65  +179.40  BCH,XRP
2026-04-18     2   -0.10     2   +0.34    +0.24  +179.64  ARB,BNB,VIRTUAL,WLD
2026-04-19     0   +0.00     1   +0.02    +0.02  +179.66  BCH
2026-04-20     3   -3.00     3   -0.84    -3.84  +175.82  APT,ARB,ETH,TRUMP,WLD,ZEC
2026-04-21     0   +0.00     1   -0.50    -0.50  +175.32  SEI
2026-04-22     1   -1.00     4   +0.00    -1.00  +174.32  ADA,DOGE,ETH,WLD,XRP
2026-04-23     1   +1.20     1   +1.24    +2.44  +176.76  CRV,WLD
